account_id,account_name,account_type,industry,geography,country,region,company_size,employee_band,revenue_band,buyer_persona_primary,buyer_persona_secondary,account_tier,current_customer_flag,strategic_account_flag,digital_maturity_score,data_intensity_score,propensity_score,sales_coverage_flag,owner_type
A0019,Horizon Industries 019,Prospect,Financial Services,Middle East,Saudi Arabia,Saudi Arabia,Enterprise,5000-9999,$1B-$5B,CRO,Strategy,Tier 2,No,No,66,73,55,Uncovered,No Owner
A0020,Atlas Advisory 020,Prospect,Healthcare,APAC,Singapore,Singapore,Mid-Market,1000-4999,$250M-$1B,Product,CRO,Tier 3,No,No,69,72,77,Uncovered,No Owner
A0021,Nexus Systems 021,Prospect,Technology,APAC,Japan,Japan,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,No,No,66,72,69,Uncovered,No Owner
A0022,Nova Labs 022,Prospect,Healthcare,North America,United States,US West,Strategic,10000+,$5B+,CRO,CFO,Tier 1,No,Yes,85,81,77,Uncovered,No Owner
A0023,Clearview Systems 023,Prospect,Technology,APAC,Australia,Australia,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,No,76,60,89,Covered,Hunter
A0024,Evergreen Data 024,Customer,Manufacturing,Europe,Sweden,Nordics,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,No,68,90,93,Covered,Farmer
A0025,Pioneer Solutions 025,Customer,Financial Services,Middle East,United Arab Emirates,UAE,Enterprise,5000-9999,$1B-$5B,CRO,CFO,Tier 2,Yes,No,60,70,74,Covered,Farmer
A0026,Apex Partners 026,Prospect,Technology,APAC,Singapore,Singapore,Mid-Market,1000-4999,$250M-$1B,Strategy,CFO,Tier 3,No,No,78,94,78,Uncovered,No Owner
A0027,Orion Data 027,Prospect,Financial Services,Europe,France,France,Mid-Market,1000-4999,$250M-$1B,Strategy,Product,Tier 3,No,Yes,61,71,70,Covered,Hunter
A0028,Sterling Capital 028,Prospect,Manufacturing,Middle East,Saudi Arabia,Saudi Arabia,Mid-Market,1000-4999,$250M-$1B,Strategy,CRO,Tier 3,No,No,64,70,71,Uncovered,No Owner
A0029,Summit Systems 029,Prospect,Financial Services,Europe,Sweden,Nordics,Mid-Market,1000-4999,$250M-$1B,CRO,CFO,Tier 3,No,No,75,71,61,Uncovered,No Owner
A0030,Vertex Data 030,Customer,Manufacturing,Middle East,Qatar,GCC,Enterprise,5000-9999,$1B-$5B,CRO,CFO,Tier 2,Yes,No,59,71,70,Covered,Farmer
A0031,Quantum Insights 031,Customer,Financial Services,North America,United States,US East,Enterprise,5000-9999,$1B-$5B,Product,Strategy,Tier 2,Yes,No,78,68,56,Uncovered,No Owner
A0032,Catalyst Capital 032,Prospect,Healthcare,North America,United States,US East,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,No,81,73,80,Covered,Hunter
A0033,Apex Industries 033,Prospect,Manufacturing,Europe,Sweden,Nordics,Enterprise,5000-9999,$1B-$5B,CRO,Product,Tier 2,No,No,73,65,87,Uncovered,No Owner
A0034,Northstar Digital 034,Prospect,Financial Services,APAC,Singapore,Singapore,Enterprise,5000-9999,$1B-$5B,CRO,CFO,Tier 2,No,No,95,93,98,Uncovered,No Owner
A0035,Evergreen Enterprises 035,Prospect,Technology,Middle East,Qatar,GCC,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,No,66,62,64,Covered,Hunter
A0036,Meridian Group 036,Prospect,Technology,APAC,Japan,Japan,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,No,No,81,75,86,Uncovered,No Owner
A0037,Northstar Capital 037,Customer,Financial Services,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,Yes,No,55,75,72,Covered,Farmer
A0038,BluePeak Advisory 038,Prospect,Manufacturing,APAC,Australia,Australia,Mid-Market,1000-4999,$250M-$1B,Product,CFO,Tier 3,No,No,78,58,65,Covered,Hunter
A0039,Pioneer Systems 039,Customer,Manufacturing,Europe,Sweden,Nordics,Enterprise,5000-9999,$1B-$5B,CRO,Strategy,Tier 2,Yes,No,45,46,54,Uncovered,No Owner
A0040,Apex Enterprises 040,Prospect,Financial Services,APAC,India,India,Mid-Market,1000-4999,$250M-$1B,CRO,Product,Tier 3,No,No,67,62,67,Covered,Hunter
A0041,Atlas Industries 041,Prospect,Manufacturing,Middle East,Qatar,GCC,Mid-Market,1000-4999,$250M-$1B,Product,CFO,Tier 3,No,No,54,70,59,Uncovered,No Owner
A0042,BluePeak Analytics 042,Prospect,Financial Services,Europe,Sweden,Nordics,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,No,No,80,72,79,Covered,Hunter
A0043,Nova Labs 043,Customer,Financial Services,Middle East,United Arab Emirates,UAE,Mid-Market,1000-4999,$250M-$1B,Strategy,CFO,Tier 3,Yes,No,63,81,47,Covered,Farmer
A0044,Vertex Systems 044,Prospect,Financial Services,APAC,Australia,Australia,Enterprise,5000-9999,$1B-$5B,Product,CFO,Tier 2,No,No,63,82,68,Covered,Hunter
A0045,Nova Analytics 045,Customer,Technology,Europe,Germany,DACH,Strategic,10000+,$5B+,CRO,CFO,Tier 1,Yes,Yes,73,83,59,Uncovered,No Owner
A0046,Clearview Holdings 046,Prospect,Healthcare,Europe,United Kingdom,UKI,Strategic,10000+,$5B+,Strategy,Product,Tier 1,No,Yes,46,95,71,Uncovered,No Owner
A0047,Vertex Systems 047,Customer,Manufacturing,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,Strategy,CRO,Tier 2,Yes,No,53,74,36,Covered,Farmer
A0048,Quantum Holdings 048,Customer,Healthcare,Europe,Sweden,Nordics,Strategic,10000+,$5B+,CFO,Product,Tier 1,Yes,Yes,53,63,60,Uncovered,No Owner
A0049,Meridian Analytics 049,Customer,Manufacturing,Middle East,Qatar,GCC,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,Yes,No,84,55,66,Uncovered,No Owner
A0050,Orion Networks 050,Prospect,Manufacturing,Europe,Sweden,Nordics,Mid-Market,1000-4999,$250M-$1B,Strategy,CFO,Tier 3,No,No,60,75,55,Uncovered,No Owner
A0051,Meridian Analytics 051,Customer,Technology,APAC,India,India,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,No,92,88,72,Uncovered,No Owner
A0052,Sterling Industries 052,Prospect,Technology,APAC,Singapore,Singapore,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,No,No,67,75,56,Covered,Hunter
A0053,Horizon Holdings 053,Prospect,Technology,APAC,India,India,Enterprise,5000-9999,$1B-$5B,Product,Strategy,Tier 2,No,No,69,88,95,Covered,Hunter
A0054,Orion Analytics 054,Customer,Healthcare,North America,United States,US West,Enterprise,5000-9999,$1B-$5B,Product,CFO,Tier 2,Yes,No,83,87,86,Covered,Farmer
A0055,Horizon Digital 055,Prospect,Financial Services,Europe,United Kingdom,UKI,Mid-Market,1000-4999,$250M-$1B,CRO,Product,Tier 3,No,No,76,92,78,Covered,Hunter
A0056,Orion Health 056,Prospect,Financial Services,APAC,Australia,Australia,Enterprise,5000-9999,$1B-$5B,CRO,Product,Tier 2,No,No,78,86,81,Covered,Hunter
A0057,Meridian Industries 057,Prospect,Manufacturing,Europe,France,France,Enterprise,5000-9999,$1B-$5B,Product,Strategy,Tier 2,No,No,49,90,71,Uncovered,No Owner
A0058,Evergreen Analytics 058,Customer,Technology,APAC,Japan,Japan,Enterprise,5000-9999,$1B-$5B,Strategy,CRO,Tier 2,Yes,No,87,93,98,Covered,Farmer
A0059,BluePeak Digital 059,Customer,Manufacturing,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,Yes,No,67,50,66,Covered,Farmer
A0060,Atlas Global 060,Prospect,Technology,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Product,Strategy,Tier 2,No,No,85,77,65,Uncovered,No Owner
A0061,Catalyst Holdings 061,Prospect,Technology,Middle East,Qatar,GCC,Mid-Market,1000-4999,$250M-$1B,Strategy,CFO,Tier 3,No,Yes,95,80,67,Uncovered,No Owner
A0062,Apex Labs 062,Prospect,Healthcare,North America,Canada,Canada,Mid-Market,1000-4999,$250M-$1B,CRO,Strategy,Tier 3,No,No,79,67,57,Covered,Hunter
A0063,Frontier Health 063,Customer,Healthcare,Europe,United Kingdom,UKI,Strategic,10000+,$5B+,CRO,Strategy,Tier 1,Yes,Yes,60,77,56,Covered,Farmer
A0064,Trinity Solutions 064,Customer,Healthcare,North America,Canada,Canada,Strategic,10000+,$5B+,Strategy,Product,Tier 1,Yes,Yes,69,82,50,Uncovered,No Owner
A0065,Catalyst Manufacturing 065,Prospect,Technology,North America,United States,US West,Mid-Market,1000-4999,$250M-$1B,CRO,Strategy,Tier 3,No,No,71,72,68,Covered,Hunter
A0066,Horizon Labs 066,Customer,Healthcare,North America,United States,US West,Mid-Market,1000-4999,$250M-$1B,CFO,Product,Tier 3,Yes,No,43,78,70,Covered,Farmer
A0067,BluePeak Health 067,Prospect,Financial Services,APAC,Singapore,Singapore,Mid-Market,1000-4999,$250M-$1B,CFO,Strategy,Tier 3,No,No,80,99,89,Uncovered,No Owner
A0068,Evergreen Solutions 068,Customer,Healthcare,North America,United States,US East,Enterprise,5000-9999,$1B-$5B,CRO,Product,Tier 2,Yes,No,42,64,52,Covered,Farmer
A0069,Nova Digital 069,Customer,Technology,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,Product,Strategy,Tier 2,Yes,No,84,82,88,Covered,Farmer
A0070,Clearview Advisory 070,Customer,Technology,Europe,Sweden,Nordics,Enterprise,5000-9999,$1B-$5B,CFO,Product,Tier 2,Yes,No,49,79,72,Covered,Farmer
A0071,Evergreen Enterprises 071,Customer,Technology,APAC,Singapore,Singapore,Enterprise,5000-9999,$1B-$5B,CFO,Product,Tier 2,Yes,No,83,72,75,Covered,Farmer
A0072,Nexus Enterprises 072,Prospect,Manufacturing,North America,Canada,Canada,Mid-Market,1000-4999,$250M-$1B,Strategy,CFO,Tier 3,No,No,58,70,54,Uncovered,No Owner
A0073,Clearview Health 073,Prospect,Manufacturing,Europe,France,France,Mid-Market,1000-4999,$250M-$1B,Product,CFO,Tier 3,No,No,70,47,49,Uncovered,No Owner
A0074,BluePeak Networks 074,Prospect,Manufacturing,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,No,55,96,57,Uncovered,No Owner
A0075,Orion Data 075,Customer,Healthcare,APAC,Japan,Japan,Mid-Market,1000-4999,$250M-$1B,Product,CRO,Tier 3,Yes,No,59,67,79,Uncovered,No Owner
A0076,Atlas Insights 076,Prospect,Technology,APAC,Australia,Australia,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,No,No,87,84,76,Uncovered,No Owner
A0077,Northstar Systems 077,Prospect,Technology,Europe,Sweden,Nordics,Mid-Market,1000-4999,$250M-$1B,Product,CRO,Tier 3,No,No,71,80,83,Uncovered,No Owner
A0078,BluePeak Industries 078,Customer,Healthcare,APAC,Singapore,Singapore,Strategic,10000+,$5B+,CRO,Strategy,Tier 1,Yes,Yes,51,86,67,Uncovered,No Owner
A0079,Nexus Digital 079,Customer,Healthcare,Middle East,Saudi Arabia,Saudi Arabia,Strategic,10000+,$5B+,Strategy,CRO,Tier 1,Yes,Yes,59,61,75,Uncovered,No Owner
A0080,Summit Digital 080,Prospect,Technology,APAC,India,India,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,No,83,80,77,Covered,Hunter
A0081,BluePeak Insights 081,Customer,Technology,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,Yes,No,91,96,85,Uncovered,No Owner
A0082,Pioneer Insights 082,Customer,Technology,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,Yes,No,71,95,71,Covered,Farmer
A0083,Sterling Industries 083,Prospect,Manufacturing,North America,United States,US East,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,No,No,68,72,79,Uncovered,No Owner
A0084,Orion Holdings 084,Customer,Technology,APAC,Australia,Australia,Enterprise,5000-9999,$1B-$5B,CRO,Product,Tier 2,Yes,No,85,86,62,Covered,Farmer
A0085,Vertex Analytics 085,Prospect,Healthcare,APAC,India,India,Enterprise,5000-9999,$1B-$5B,CFO,Strategy,Tier 2,No,No,77,64,59,Uncovered,No Owner
A0086,Orion Insights 086,Customer,Technology,North America,United States,US East,Strategic,10000+,$5B+,CFO,Strategy,Tier 1,Yes,Yes,91,73,68,Covered,Farmer
A0087,Vertex Industries 087,Prospect,Technology,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,No,No,83,69,62,Uncovered,No Owner
A0088,Clearview Holdings 088,Customer,Technology,APAC,Japan,Japan,Strategic,10000+,$5B+,CFO,Strategy,Tier 1,Yes,Yes,88,79,76,Covered,Farmer
A0089,Summit Analytics 089,Prospect,Healthcare,North America,United States,US East,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,No,No,67,85,73,Uncovered,No Owner
A0090,Horizon Holdings 090,Prospect,Financial Services,Europe,United Kingdom,UKI,Enterprise,5000-9999,$1B-$5B,CFO,Strategy,Tier 2,No,No,47,70,60,Covered,Hunter
A0091,Northstar Global 091,Prospect,Manufacturing,APAC,India,India,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,Yes,72,68,74,Uncovered,No Owner
A0092,Northstar Solutions 092,Prospect,Manufacturing,APAC,Singapore,Singapore,Enterprise,5000-9999,$1B-$5B,CRO,Strategy,Tier 2,No,No,58,72,53,Covered,Hunter
A0093,Crescent Technologies 093,Prospect,Healthcare,Europe,United Kingdom,UKI,Mid-Market,1000-4999,$250M-$1B,CFO,Strategy,Tier 3,No,No,66,79,61,Covered,Hunter
A0094,Nexus Global 094,Prospect,Healthcare,Europe,Sweden,Nordics,Mid-Market,1000-4999,$250M-$1B,CRO,Product,Tier 3,No,No,71,75,72,Covered,Hunter
A0095,BluePeak Partners 095,Prospect,Financial Services,APAC,India,India,Mid-Market,1000-4999,$250M-$1B,CFO,Product,Tier 3,No,No,69,91,86,Uncovered,No Owner
A0096,Vertex Ventures 096,Prospect,Healthcare,Middle East,United Arab Emirates,UAE,Enterprise,5000-9999,$1B-$5B,Strategy,CRO,Tier 2,No,No,66,79,73,Uncovered,No Owner
A0097,BluePeak Ventures 097,Prospect,Technology,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,Strategy,CRO,Tier 2,No,No,83,73,67,Uncovered,No Owner
A0098,Summit Insights 098,Prospect,Healthcare,North America,United States,US West,Enterprise,5000-9999,$1B-$5B,Product,CFO,Tier 2,No,No,70,77,79,Covered,Hunter
A0099,Apex Manufacturing 099,Customer,Healthcare,APAC,India,India,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,No,59,85,66,Uncovered,No Owner
A0100,Pioneer Manufacturing 100,Customer,Manufacturing,Europe,Germany,DACH,Strategic,10000+,$5B+,CFO,CRO,Tier 1,Yes,Yes,53,83,74,Covered,Farmer
A0101,Meridian Holdings 101,Customer,Financial Services,APAC,India,India,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,Yes,82,78,90,Uncovered,No Owner
A0102,Clearview Partners 102,Prospect,Healthcare,Europe,Germany,DACH,Mid-Market,1000-4999,$250M-$1B,Product,Strategy,Tier 3,No,Yes,86,72,69,Covered,Hunter
A0103,Trinity Group 103,Prospect,Financial Services,Middle East,Qatar,GCC,Mid-Market,1000-4999,$250M-$1B,CRO,Product,Tier 3,No,No,67,83,71,Covered,Hunter
A0104,Clearview Analytics 104,Prospect,Technology,APAC,India,India,Mid-Market,1000-4999,$250M-$1B,Strategy,CRO,Tier 3,No,No,84,93,75,Covered,Hunter
A0105,Evergreen Systems 105,Customer,Financial Services,North America,United States,US West,Strategic,10000+,$5B+,Product,Strategy,Tier 1,Yes,Yes,64,80,74,Covered,Farmer
A0106,Atlas Ventures 106,Prospect,Technology,Middle East,United Arab Emirates,UAE,Mid-Market,1000-4999,$250M-$1B,Product,CRO,Tier 3,No,No,85,85,86,Covered,Hunter
A0107,Meridian Technologies 107,Prospect,Healthcare,APAC,Japan,Japan,Enterprise,5000-9999,$1B-$5B,CRO,Strategy,Tier 2,No,No,71,75,69,Uncovered,No Owner
A0108,Atlas Insights 108,Customer,Healthcare,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,No,66,91,66,Uncovered,No Owner
A0109,Evergreen Technologies 109,Customer,Financial Services,Middle East,Saudi Arabia,Saudi Arabia,Enterprise,5000-9999,$1B-$5B,Strategy,CRO,Tier 2,Yes,No,70,73,62,Covered,Farmer
A0110,Quantum Manufacturing 110,Prospect,Technology,North America,Canada,Canada,Mid-Market,1000-4999,$250M-$1B,Product,CRO,Tier 3,No,No,67,82,72,Uncovered,No Owner
A0111,Clearview Insights 111,Customer,Manufacturing,APAC,India,India,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,Yes,No,68,63,65,Uncovered,No Owner
A0112,Orion Advisory 112,Customer,Manufacturing,APAC,Australia,Australia,Enterprise,5000-9999,$1B-$5B,Strategy,CFO,Tier 2,Yes,Yes,53,65,66,Covered,Farmer
A0113,Vertex Systems 113,Prospect,Technology,Middle East,Saudi Arabia,Saudi Arabia,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,No,No,54,84,59,Covered,Hunter
A0114,Meridian Technologies 114,Customer,Financial Services,North America,United States,US East,Strategic,10000+,$5B+,CRO,Strategy,Tier 1,Yes,Yes,57,99,85,Uncovered,No Owner
A0115,Evergreen Partners 115,Prospect,Manufacturing,Middle East,United Arab Emirates,UAE,Strategic,10000+,$5B+,CRO,Product,Tier 1,No,Yes,65,70,69,Uncovered,No Owner
A0116,Sterling Labs 116,Customer,Technology,North America,United States,US East,Strategic,10000+,$5B+,Product,CFO,Tier 1,Yes,Yes,85,86,79,Uncovered,No Owner
A0117,Clearview Capital 117,Prospect,Healthcare,North America,United States,US East,Mid-Market,1000-4999,$250M-$1B,CFO,Strategy,Tier 3,No,No,56,82,65,Uncovered,No Owner
A0118,Summit Insights 118,Customer,Manufacturing,Europe,Sweden,Nordics,Strategic,10000+,$5B+,Product,CRO,Tier 1,Yes,Yes,57,73,54,Covered,Farmer
A0119,Nexus Labs 119,Customer,Technology,APAC,Singapore,Singapore,Mid-Market,1000-4999,$250M-$1B,CRO,Product,Tier 3,Yes,No,47,77,54,Covered,Farmer
A0120,Pioneer Networks 120,Prospect,Financial Services,Europe,United Kingdom,UKI,Enterprise,5000-9999,$1B-$5B,CRO,CFO,Tier 2,No,No,46,91,66,Covered,Hunter
A0121,Horizon Data 121,Customer,Healthcare,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,CRO,Product,Tier 2,Yes,No,71,72,62,Covered,Farmer
A0122,Summit Ventures 122,Prospect,Financial Services,APAC,Singapore,Singapore,Strategic,10000+,$5B+,CRO,CFO,Tier 1,No,Yes,79,60,55,Covered,Hunter
A0123,Orion Systems 123,Prospect,Technology,APAC,Australia,Australia,Mid-Market,1000-4999,$250M-$1B,Strategy,CRO,Tier 3,No,No,70,83,62,Uncovered,No Owner
A0124,Horizon Labs 124,Prospect,Financial Services,APAC,Japan,Japan,Strategic,10000+,$5B+,Product,CRO,Tier 1,No,Yes,81,99,85,Covered,Hunter
A0125,Nova Data 125,Customer,Manufacturing,APAC,Japan,Japan,Strategic,10000+,$5B+,Product,CRO,Tier 1,Yes,Yes,47,73,64,Uncovered,No Owner
A0126,Pioneer Systems 126,Prospect,Manufacturing,APAC,Japan,Japan,Strategic,10000+,$5B+,Product,CFO,Tier 1,No,Yes,69,51,60,Covered,Hunter
A0127,Clearview Labs 127,Prospect,Healthcare,Europe,France,France,Mid-Market,1000-4999,$250M-$1B,Strategy,CRO,Tier 3,No,No,63,70,76,Uncovered,No Owner
A0128,Pioneer Group 128,Prospect,Technology,North America,United States,US East,Mid-Market,1000-4999,$250M-$1B,Strategy,Product,Tier 3,No,No,80,85,78,Uncovered,No Owner
A0129,Crescent Partners 129,Customer,Technology,APAC,Australia,Australia,Mid-Market,1000-4999,$250M-$1B,CFO,Product,Tier 3,Yes,No,68,70,75,Uncovered,No Owner
A0130,Atlas Global 130,Customer,Financial Services,Europe,France,France,Enterprise,5000-9999,$1B-$5B,CRO,Strategy,Tier 2,Yes,No,72,74,61,Covered,Farmer
A0131,Pioneer Networks 131,Prospect,Technology,Europe,France,France,Mid-Market,1000-4999,$250M-$1B,Product,CFO,Tier 3,No,No,73,89,62,Uncovered,No Owner
A0132,Catalyst Manufacturing 132,Prospect,Financial Services,North America,United States,US East,Mid-Market,1000-4999,$250M-$1B,Product,Strategy,Tier 3,No,No,47,97,72,Covered,Hunter
A0133,Clearview Global 133,Prospect,Financial Services,North America,Canada,Canada,Mid-Market,1000-4999,$250M-$1B,CRO,Strategy,Tier 3,No,No,51,80,78,Uncovered,No Owner
A0134,Catalyst Health 134,Prospect,Healthcare,North America,United States,US East,Mid-Market,1000-4999,$250M-$1B,CRO,Product,Tier 3,No,No,58,76,73,Uncovered,No Owner
A0135,Orion Data 135,Prospect,Financial Services,Europe,Sweden,Nordics,Mid-Market,1000-4999,$250M-$1B,Product,CFO,Tier 3,No,No,76,83,84,Uncovered,No Owner
A0136,Meridian Solutions 136,Customer,Financial Services,North America,United States,US East,Strategic,10000+,$5B+,CRO,Strategy,Tier 1,Yes,Yes,62,63,54,Covered,Farmer
A0137,BluePeak Technologies 137,Prospect,Technology,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,No,80,67,80,Uncovered,No Owner
A0138,Trinity Enterprises 138,Customer,Financial Services,Europe,Sweden,Nordics,Mid-Market,1000-4999,$250M-$1B,Product,CFO,Tier 3,Yes,No,89,83,81,Covered,Farmer
A0139,Trinity Technologies 139,Customer,Healthcare,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Strategy,CRO,Tier 2,Yes,No,61,71,69,Covered,Farmer
A0140,Nexus Networks 140,Prospect,Financial Services,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,Product,CRO,Tier 2,No,No,62,99,66,Covered,Hunter
A0141,Summit Analytics 141,Prospect,Healthcare,North America,Canada,Canada,Enterprise,5000-9999,$1B-$5B,Strategy,Product,Tier 2,No,Yes,74,69,66,Uncovered,No Owner
A0142,Summit Data 142,Prospect,Healthcare,North America,United States,US West,Enterprise,5000-9999,$1B-$5B,Strategy,CRO,Tier 2,No,No,67,74,68,Covered,Hunter
A0143,Trinity Enterprises 143,Prospect,Financial Services,Europe,Germany,DACH,Enterprise,5000-9999,$1B-$5B,CFO,Product,Tier 2,No,No,76,88,79,Covered,Hunter
A0144,Vertex Holdings 144,Prospect,Financial Services,Europe,Germany,DACH,Strategic,10000+,$5B+,Product,CFO,Tier 1,No,Yes,79,77,75,Covered,Hunter
A0145,Clearview Systems 145,Prospect,Manufacturing,APAC,Japan,Japan,Mid-Market,1000-4999,$250M-$1B,CFO,Product,Tier 3,No,No,53,56,65,Covered,Hunter
A0146,Meridian Capital 146,Prospect,Manufacturing,Europe,France,France,Enterprise,5000-9999,$1B-$5B,CFO,CRO,Tier 2,No,No,60,71,66,Uncovered,No Owner
A0147,Catalyst Solutions 147,Prospect,Manufacturing,Middle East,Saudi Arabia,Saudi Arabia,Mid-Market,1000-4999,$250M-$1B,CFO,Strategy,Tier 3,No,No,37,82,60,Uncovered,No Owner
A0148,Orion Capital 148,Prospect,Healthcare,APAC,India,India,Mid-Market,1000-4999,$250M-$1B,CRO,CFO,Tier 3,No,No,79,80,61,Covered,Hunter
A0149,Quantum Ventures 149,Prospect,Technology,APAC,Japan,Japan,Enterprise,5000-9999,$1B-$5B,Product,CFO,Tier 2,No,No,94,88,98,Uncovered,No Owner
A0150,Evergreen Technologies 150,Prospect,Healthcare,Middle East,Saudi Arabia,Saudi Arabia,Enterprise,5000-9999,$1B-$5B,CFO,Strategy,Tier 2,No,No,69,65,79,Covered,Hunter
